Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Portfolio: Searching for relevant functions and their usages in millions of lines of code,C. Mcmillan; D. Poshyvanyk; M. Grechanik; Q. Xie; C. Fu,"University of Notre Dame, South Bend, IN",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,30,"<p>Different studies show that programmers are more interested in finding definitions of functions and their uses than variables, statements, or ordinary code fragments. Therefore, developers require support in finding relevant functions and determining how these functions are used. Unfortunately, existing code search engines do not provide enough of this support to developers, thus reducing the effectiveness of code reuse. We provide this support to programmers in a code search system called <i>Portfolio</i> that retrieves and visualizes relevant functions and their usages. We have built Portfolio using a combination of models that address surfing behavior of programmers and sharing related concepts among functions. We conducted two experiments: first, an experiment with 49 C/C&plus;&plus; programmers to compare Portfolio to Google Code Search and Koders using a standard methodology for evaluating information-retrieval-based engines; and second, an experiment with 19 Java programmers to compare Portfolio to Koders. The results show with strong statistical significance that users find more relevant functions with higher precision with Portfolio than with Google Code Search and Koders. We also show that by using PageRank, Portfolio is able to rank returned relevant functions more efficiently.</p>",1049-331X;1049331X,,10.1145/2522920.2522930,,,Pagerank;Source-code search;information retrieval;natural language processing;user studies,,,,,5,,,,,,13-Oct,,ACM,ACM Journals & Magazines,,29
Understanding Integer Overflow in C/C++,W. Dietz; P. Li; J. Regehr; V. Adve,University of Illinois at Urbana-Champaign,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,25,1,1,29,"<p>Integer overflow bugs in C and C++ programs are difficult to track down and may lead to fatal errors or exploitable vulnerabilities. Although a number of tools for finding these bugs exist, the situation is complicated because not all overflows are bugs. Better tools need to be constructed, but a thorough understanding of the issues behind these errors does not yet exist. We developed IOC, a dynamic checking tool for integer overflows, and used it to conduct the first detailed empirical study of the prevalence and patterns of occurrence of integer overflows in C and C++ code. Our results show that intentional uses of wraparound behaviors are more common than is widely believed; for example, there are over 200 distinct locations in the SPEC CINT2000 benchmarks where overflow occurs. Although many overflows are intentional, a large number of accidental overflows also occur. Orthogonal to programmers' intent, overflows are found in both well-defined and undefined flavors. Applications executing undefined operations can be, and have been, broken by improvements in compiler optimizations. Looking beyond SPEC, we found and reported undefined integer overflows in SQLite, PostgreSQL, SafeInt, GNU MPC and GMP, Firefox, LLVM, Python, BIND, and OpenSSL; many of these have since been fixed.</p>",1049-331X;1049331X,,10.1145/2743019,,,Integer overflow;integer wraparound;undefined behavior,,,,,3,,,,,,15-Dec,,ACM,ACM Journals & Magazines,,28
Combining Centralised and Distributed Testing,R. M. Hierons,"Brunel University, Uxbridge, Middlesex, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,1,1,29,"<p>Many systems interact with their environment at distributed interfaces (ports) and sometimes it is not possible to place synchronised local testers at the ports of the system under test (SUT). There are then two main approaches to testing: having independent local testers or a single centralised tester that interacts asynchronously with the SUT. The power of using independent testers has been captured using implementation relation dioco. In this article, we define implementation relation diococ for the centralised approach and prove that dioco and dioco<sub><i>c</i></sub> are incomparable. This shows that the frameworks detect different types of faults and so we devise a hybrid framework and define an implementation relation diocos for this. We prove that the hybrid framework is more powerful than the distributed and centralised approaches. We then prove that the Oracle problem is NP-complete for diococ and diocos but can be solved in polynomial time if we place an upper bound on the number of ports. Finally, we consider the problem of deciding whether there is a test case that is guaranteed to force a finite state model into a particular state or to distinguish two states, proving that both problems are undecidable for the centralised and hybrid frameworks.</p>",1049-331X;1049331X,,10.1145/2661296,,,Centralised testing;distributed testing;model-based testing,,,,,3,,,,,,14-Sep,,ACM,ACM Journals & Magazines,,28
Inflow and Retention in OSS Communities with Commercial Involvement: A Case Study of Three Hybrid Projects,M. Zhou; A. Mockus; X. Ma; L. Zhang; H. Mei,"Peking University, Beijing",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,2,1,29,"<p><b>Motivation:</b> Open-source projects are often supported by companies, but such involvement often affects the robust contributor inflow needed to sustain the project and sometimes prompts key contributors to leave. To capture user innovation and to maintain quality of software and productivity of teams, these projects need to attract and retain contributors. <b>Aim:</b> We want to understand and quantify how inflow and retention are shaped by policies and actions of companies in three application server projects. <b>Method:</b> We identified three hybrid projects implementing the same JavaEE specification and used published literature, online materials, and interviews to quantify actions and policies companies used to get involved. We collected project repository data, analyzed affiliation history of project participants, and used generalized linear models and survival analysis to measure contributor inflow and retention. <b>Results:</b> We identified coherent groups of policies and actions undertaken by sponsoring companies as three models of community involvement and quantified tradeoffs between the inflow and retention each model provides. We found that full control mechanisms and high intensity of commercial involvement were associated with a decrease of external inflow and with improved retention. However, a shared control mechanism was associated with increased external inflow contemporaneously with the increase of commercial involvement. <b>Implications:</b> Inspired by a natural experiment, our methods enabled us to quantify aspects of the balance between community and private interests in open- source software projects and provide clear implications for the structure of future open-source communities.</p>",1049-331X;1049331X,,10.1145/2876443,,,Hybrid project;commercial involvement;contributor inflow;contributor retention;extent and intensity of involvement;natural experiment,,,,,2,,,,,,16-May,,ACM,ACM Journals & Magazines,,28
A web-centred approach to end-user software engineering,D. Lizcano; F. Alonso; J. Soriano; G. Lopez,"Universidad a Distancia de Madrid, UDIMA, Spain",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,29,"<p>This article addresses one of the major end-user software engineering (EUSE) challenges, namely, how to motivate end users to apply unfamiliar software engineering techniques and activities to achieve their goal: translate requirements into software that meets their needs. EUSE activities are secondary to the goal that the program is helping to achieve and end-user programming is opportunistic. The challenge is then to find ways to incorporate EUSE activities into the existing workflow without users having to make substantial changes to the type of work they do or their priorities. In this article, we set out an approach to EUSE for web-based applications. We also propose a software lifecycle that is consistent with the conditions and priorities of end users without programming skills and is well-aligned with EUSE's characteristic informality, ambiguity and opportunisticness. Users applying this lifecycle manage to find solutions that they would otherwise be unable to identify. They also develop quality products. Users of this approach will not have to be acquainted with software engineering, as a framework will take them through the web-centred EUSE lifecycle step-by-step. We also report a statistical experiment in which users develop web software with and without a framework to guide them through the lifecycle. Its aim is to validate the applicability of our framework-driven lifecycle.</p>",1049-331X;1049331X,,10.1145/2522920.2522929,,,End-user programming;end-user development;human-computer interaction;visual programming,,,,,,,,,,,13-Oct,,ACM,ACM Journals & Magazines,,28
A formal model for automated software modularity and evolvability analysis,Y. Cai; K. Sullivan,"Drexel University, Philadelphia, PA",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,4,1,29,"<p>Neither the nature of modularity in software design, characterized as a property of the structure of dependencies among design decisions, or its economic value are adequately well understood. One basic problem is that we do not even have a sufficiently clear definition of what it means for one design decision to depend on another. The main contribution of this work is one possible mathematically precise definition of <i>dependency</i> based on an <i>augmented constraint network</i> model. The model provides an end-to-end account of the connection between modularity and its value in terms of options to make adaptive changes in uncertain and changing design spaces. We demonstrate the validity and theoretical utility of the model, showing that it is consistent with, and provides new insights into, several previously published results in design theory.</p>",1049-331X;1049331X,,10.1145/2377656.2377658,,,Design modeling;augmented constraint network;design analysis;design structure matrix;evolution;modularity;software economics,,,,,,,,,,,12-Nov,,ACM,ACM Journals & Magazines,,28
DARWIN: An approach to debugging evolving programs,D. Qi; A. Roychoudhury; Z. Liang; K. Vaswani,"National University of Singapore, Singapore",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,3,1,29,"<p>Bugs in programs are often introduced when programs evolve from a stable version to a new version. In this article, we propose a new approach called <i>DARWIN</i> for automatically finding potential root causes of such bugs. Given two programsäóîa reference program and a modified programäóîand an input that fails on the modified program, our approach uses symbolic execution to automatically synthesize a new input that (a) is very similar to the failing input and (b) does not fail. We find the potential cause(s) of failure by comparing control-flow behavior of the passing and failing inputs and identifying code fragments where the control flows diverge.</p> <p>A notable feature of our approach is that it handles hard-to-explain bugs, like code missing errors, by pointing to code in the reference program. We have implemented this approach and conducted experiments using several real-world applications, such as the Apache Web server, libPNG (a library for manipulating PNG images), and TCPflow (a program for displaying data sent through TCP connections). In each of these applications, <i>DARWIN</i> was able to localize bugs with high accuracy. Even though these applications contain several thousands of lines of code, <i>DARWIN</i> could usually narrow down the potential root cause(s) to less than ten lines. In addition, we find that the inputs synthesized by <i>DARWIN</i> provide additional value by revealing other undiscovered errors.</p>",1049-331X;1049331X,,10.1145/2211616.2211622,,,Software debugging;software evolution;symbolic execution,,,,,12,,,,,,12-Jun,,ACM,ACM Journals & Magazines,,28
Modeling and verifying hierarchical real-time systems using stateful timed CSP,J. Sun; Y. Liu; J. S. Dong; Y. Liu; L. Shi; í_. Andrí©,Singapore University of Technology and Design,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,1,1,29,"<p>Modeling and verifying complex real-time systems are challenging research problems. The <i>de facto</i> approach is based on Timed Automata, which are finite state automata equipped with clock variables. Timed Automata are deficient in modeling hierarchical complex systems. In this work, we propose a language called <i>Stateful Timed CSP</i> and an automated approach for verifying Stateful Timed CSP models. Stateful Timed CSP is based on Timed CSP and is capable of specifying hierarchical real-time systems. Through dynamic zone abstraction, <i>finite-state</i> zone graphs can be generated automatically from Stateful Timed CSP models, which are subject to model checking. Like Timed Automata, Stateful Timed CSP models suffer from Zeno runs, that is, system runs that take infinitely many steps within finite time. Unlike Timed Automata, model checking with non-Zenoness in Stateful Timed CSP can be achieved based on the zone graphs. We extend the PAT model checker to support system modeling and verification using Stateful Timed CSP and show its usability/scalability via verification of real-world systems.</p>",1049-331X;1049331X,,10.1145/2430536.2430537,,,Non-Zenoness;PAT;Stateful Timed CSP;Zone Abstraction,,,,,8,,,,,,13-Feb,,ACM,ACM Journals & Magazines,,28
Fault localization prioritization: Comparing information-theoretic and coverage-based approaches,S. Yoo; M. Harman; D. Clark,"University College London, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,29,"<p>Test case prioritization techniques seek to maximize early fault detection. Fault localization seeks to use test cases already executed to help find the fault location. There is a natural interplay between the two techniques; once a fault is detected, we often switch focus to fault fixing, for which localization may be a first step. In this article we introduce the Fault Localization Prioritization (FLP) problem, which combines prioritization and localization. We evaluate three techniques: a novel FLP technique based on information theory, FLINT (Fault Localization using INformation Theory), that we introduce in this article, a standard Test Case Prioritization (TCP) technique, and a äóìtest similarity techniqueäóù used in previous work. Our evaluation uses five different releases of four software systems. The results indicate that FLP and TCP can statistically significantly reduce fault localization costs for 73&percnt; and 76&percnt; of cases, respectively, and that FLINT significantly outperforms similarity-based localization techniques in 52&percnt; of the cases considered in the study.</p>",1049-331X;1049331X,,10.1145/2491509.2491513,,,Test case prioritization;fault localization;information theory,,,,,17,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,28
An Approach for Modeling Architectural Design Rules in UML and its Application to Embedded Software,A. Mattsson; B. Fitzgerald; B. Lundell; B. Lings,"Combitech AB, Sweden and University of Limerick, Ireland",ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2012,21,2,1,29,"<p>Current techniques for modeling software architecture do not provide sufficient support for modeling architectural design rules. This is a problem in the context of model-driven development in which it is assumed that major design artifacts are represented as formal or semi-formal models. This article addresses this problem by presenting an approach to modeling architectural design rules in UML at the abstraction level of the meaning of the rules. The high abstraction level and the use of UML makes the rules both amenable to automation and easy to understand for both architects and developers, which is crucial to deployment in an organization. To provide a proof-of-concept, a tool was developed that validates a system model against the architectural rules in a separate UML model. To demonstrate the feasibility of the approach, the architectural design rules of an existing live industrial-strength system were modeled according to the approach.</p>",1049-331X;1049331X,,10.1145/2089116.2089120,,,Model-driven development (MDD);embedded software development;model-driven engineering (MDE),,,,,0,,,,,,12-Mar,,ACM,ACM Journals & Magazines,,28
Amplifying Tests to Validate Exception Handling Code: An Extended Study in the Mobile Application Domain,P. Zhang; S. Elbaum,University of Nebraska-Lincoln,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,23,4,1,28,"<p>Validating code handling exceptional behavior is difficult, particularly when dealing with external resources that may be noisy and unreliable, as it requires (1) systematic exploration of the space of exceptions that may be thrown by the external resources, and (2) setup of the context to trigger specific patterns of exceptions. In this work, we first present a study quantifying the magnitude of the problem by inspecting the bug repositories of a set of popular applications in the increasingly relevant domain of Android mobile applications. The study revealed that 22&percnt; of the confirmed and fixed bugs have to do with poor exceptional handling code, and half of those correspond to interactions with external resources. We then present an approach that addresses this challenge by performing an systematic amplification of the program space explored by a test by manipulating the behavior of external resources. Each amplification attempts to expose a program's exception handling constructs to new behavior by mocking an external resource so that it returns normally or throws an exception following a predefined set of patterns. Our assessment of the approach indicates that it can be fully automated, is powerful enough to detect 67&percnt; of the faults reported in the bug reports of this kind, and is precise enough that 78&percnt; of the detected anomalies are fixed, and it has a great potential to assist developers.</p>",1049-331X;1049331X,,10.1145/2652483,,,Test transformation;exception handling;mobile applications;test amplification;test case generation,,,,,1,,,,,,14-Aug,,ACM,ACM Journals & Magazines,,27
Using Cohesion and Coupling for Software Remodularization: Is It Enough?,I. Candela; G. Bavota; B. Russo; R. Oliveto,"University of Molise, Pesche (IS), Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,3,1,28,"<p>Refactoring and, in particular, remodularization operations can be performed to repair the design of a software system and remove the erosion caused by software evolution. Various approaches have been proposed to support developers during the remodularization of a software system. Most of these approaches are based on the underlying assumption that developers pursue an optimal balance between cohesion and coupling when modularizing the classes of their systems. Thus, a remodularization recommender proposes a solution that implicitly provides a (near) optimal balance between such quality attributes. However, there is still no empirical evidence that such a balance is the <i>desideratum</i> by developers. This article aims at analyzing both objectively and subjectively the aforementioned phenomenon. Specifically, we present the results of (1) a large study analyzing the modularization quality, in terms of package cohesion and coupling, of 100 open-source systems, and (2) a survey conducted with 29 developers aimed at understanding the driving factors they consider when performing modularization tasks. The results achieved have been used to distill a set of lessons learned that might be considered to design more effective remodularization recommenders.</p>",1049-331X;1049331X,,10.1145/2928268,,,Remodularization;software quality,,,,,2,,,,,,16-Aug,,ACM,ACM Journals & Magazines,,27
A Methodology for Exposing Risk in Achieving Emergent System Properties,L. Layman; V. R. Basili; M. V. Zelkowitz,"Fraunhofer Center for Experimental Software Engineering, College Park, MD",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,3,1,28,"<p>Determining whether systems achieve desired emergent properties, such as safety or reliability, requires an analysis of the system as a whole, often in later development stages when changes are difficult and costly to implement. In this article we propose the Process Risk Indicator (PRI) methodology for analyzing and evaluating emergent properties early in the development cycle. A fundamental assumption of system engineering is that risk mitigation processes reduce system risks, yet these processes may also be a source of risk: (1) processes may not be appropriate for achieving the desired emergent property; or (2) processes may not be followed appropriately. PRI analyzes development process artifacts (e.g., designs pertaining to reliability or safety analysis reports) to quantify process risks that may lead to higher system risk. We applied PRI to the hazard analysis processes of a network-centric, Department of Defense system-of-systems and two NASA spaceflight projects to assess the risk of not achieving one such emergent property, software safety, during the early stages of the development lifecycle. The PRI methodology was used to create measurement baselines for process indicators of software safety risk, to identify risks in the hazard analysis process, and to provide feedback to projects for reducing these risks.</p>",1049-331X;1049331X,,10.1145/2560048,,,Process risk;risk measurement;software safety,,,,,2,,,,,,14-May,,ACM,ACM Journals & Magazines,,27
Required behavior of sequence diagrams: Semantics and conformance,L. Lu; D. K. Kim,Oakland University,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,2,1,28,"<p>Many reusable software artifacts such as design patterns and design aspects make use of UML sequence diagrams to describe interaction behaviors. When a pattern or an aspect is reused in an application, it is important to ensure that the sequence diagrams for the application conform to the corresponding sequence diagrams for the pattern or aspect. Reasoning about conformance relationship between sequence diagrams has not been addressed adequately in literature. In this article, we focus on required behaviors specified by a UML sequence diagram and provide a semantic-based formalization of conformance relationships between sequence diagrams. A novel trace semantics is first given that captures precisely required behaviors. A refinement relation between sequence diagrams is then defined based on the semantics. The refinement relation allows a sequence diagram to be refined by changing its structure so long as its required behaviors are preserved. A conformance relation between sequence diagrams is finally given that includes the refinement relation as a special case. It allows one to introduce and rename lifelines, messages, and system variables when reusing sequence diagrams. Properties of the semantics, refinement, and conformance relations are studied. Two case studies are provided to illustrate the efficacy of semantic-based conformance reasoning.</p>",1049-331X;1049331X,,10.1145/2523108,,,Sequence diagram;conformance;design aspect;design pattern;refinement;required behavior;semantics;trace semantics,,,,,1,,,,,,14-Mar,,ACM,ACM Journals & Magazines,,27
"HAMPI: A solver for word equations over strings, regular expressions, and context-free grammars",A. Kiezun; V. Ganesh; S. Artzi; P. J. Guo; P. Hooimeijer; M. D. Ernst,Brigham and Women's Hospital/Harvard Medical School,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,4,1,28,"<p>Many automatic testing, analysis, and verification techniques for programs can be effectively reduced to a constraint-generation phase followed by a constraint-solving phase. This separation of concerns often leads to more effective and maintainable software reliability tools. The increasing efficiency of off-the-shelf constraint solvers makes this approach even more compelling. However, there are few effective and sufficiently expressive off-the-shelf solvers for string constraints generated by analysis of string-manipulating programs, so researchers end up implementing their own ad-hoc solvers.</p> <p>To fulfill this need, we designed and implemented Hampi, a solver for string constraints over bounded string variables. Users of Hampi specify constraints using regular expressions, context-free grammars, equality between string terms, and typical string operations such as concatenation and substring extraction. Hampi then finds a string that satisfies all the constraints or reports that the constraints are unsatisfiable.</p> <p>We demonstrate Hampi's expressiveness and efficiency by applying it to program analysis and automated testing. We used Hampi in static and dynamic analyses for finding SQL injection vulnerabilities in Web applications with hundreds of thousands of lines of code. We also used Hampi in the context of automated bug finding in C programs using dynamic systematic testing (also known as concolic testing). We then compared Hampi with another string solver, CFGAnalyzer, and show that Hampi is several times faster. Hampi's source code, documentation, and experimental data are available at http://people.csail.mit.edu/akiezun/hampi<sup>1</sup></p>",1049-331X;1049331X,,10.1145/2377656.2377662,,,String constraints;concolic testing;context-free languages;program analysis;regular languages;word equations,,,,,4,,,,,,12-Nov,,ACM,ACM Journals & Magazines,,27
Validating software metrics: A spectrum of philosophies,A. Meneely; B. Smith; L. Williams,North Carolina State University,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,4,1,28,"<p><i>Context</i>. Researchers proposing a new metric have the burden of proof to demonstrate to the research community that the metric is acceptable in its intended use. This burden of proof is provided through the multi-faceted, scientific, and objective process of software metrics validation. Over the last 40 years, however, researchers have debated what constitutes a äóìvalidäóù metric.</p> <p><i>Aim</i>. The debate over what constitutes a valid metric centers on software metrics validation criteria. The objective of this article is to guide researchers in making sound contributions to the field of software engineering metrics by providing a practical summary of the metrics validation criteria found in the academic literature.</p> <p><i>Method</i>. We conducted a systematic literature review that began with 2,288 papers and ultimately focused on 20 papers. After extracting 47 unique validation criteria from these 20 papers, we performed a comparative analysis to explore the relationships amongst the criteria.</p> <p><i>Results</i>. Our 47 validation criteria represent a diverse view of what constitutes a valid metric. We present an analysis of the criteria's categorization, conflicts, common themes, and philosophical motivations behind the validation criteria.</p> <p><i>Conclusions</i>. Although the 47 validation criteria are not conflict-free, the diversity of motivations and philosophies behind the validation criteria indicates that metrics validation is complex. Researchers proposing new metrics should consider the applicability of the validation criteria in terms of our categorization and analysis. Rather than arbitrarily choosing validation criteria for each metric, researchers should choose criteria that can confirm that the metric is appropriate for its intended use. We conclude that metrics validation criteria provide answers to questions that researchers have about the merits and limitations of a metric.</p>",1049-331X;1049331X,,10.1145/2377656.2377661,,,Software metrics;systematic literature review;validation criterion,,,,,9,,,,,,12-Nov,,ACM,ACM Journals & Magazines,,27
Precise memory leak detection for java software using container profiling,G. Xu; A. Rountev,"University of California, Irvine, CA",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,28,"<p>A memory leak in a Java program occurs when object references that are no longer needed are unnecessarily maintained. Such leaks are difficult to detect because static analysis typically cannot precisely identify these redundant references, and existing dynamic leak detection tools track and report fine-grained information about individual objects, producing results that are usually hard to interpret and lack precision.</p> <p>In this article we introduce a novel <i>container-based</i> heap-tracking technique, based on the fact that many memory leaks in Java programs occur due to incorrect uses of containers, leading to containers that keep references to unused data entries. The novelty of the described work is twofold: (1) instead of tracking arbitrary objects and finding leaks by analyzing references to unused objects, the technique tracks only containers and directly identifies the source of the leak, and (2) the technique computes a confidence value for each container based on a combination of its memory consumption and its elements' staleness (time since last retrieval), while previous approaches do not consider such combined metrics. Our experimental results show that the reports generated by the proposed technique can be very precise: for two bugs reported by Sun, a known bug in SPECjbb 2000, and an example bug from IBM developerWorks, the top containers in the reports include the containers that leak memory.</p>",1049-331X;1049331X,,10.1145/2491509.2491511,,,Memory leaks;container profiling;leaking confidence,,,,,2,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,27
Prevalence of coincidental correctness and mitigation of its impact on fault localization,W. Masri; R. A. Assi,"American University of Beirut, Beirut, Lebanon",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,28,"<p>Researchers have argued that for failure to be observed the following three conditions must be met: <i>C</i><sub><i>R</i></sub> &equals; the defect was reached; <i>C</i><sub><i>I</i></sub> &equals; the program has transitioned into an infectious state; and <i>C</i><sub><i>P</i></sub> &equals; the infection has propagated to the output. <i>Coincidental Correctness</i> (CC) arises when the program produces the correct output while condition C<sub>R</sub> is met but not C<sub>P</sub>. We recognize two forms of coincidental correctness, weak and strong. In <i>weak CC</i>, C<sub>R</sub> is met, whereas C<sub>I</sub> might or might not be met, whereas in <i>strong</i> <i>CC</i>, both C<sub>R</sub> and C<sub>I</sub> are met. In this work we first show that CC is prevalent in both of its forms and demonstrate that it is a safety reducing factor for <i>Coverage-Based Fault Localization</i> (CBFL). We then propose two techniques for cleansing test suites from coincidental correctness to enhance CBFL, given that the test cases have already been classified as failing or passing. We evaluated the effectiveness of our techniques by empirically quantifying their accuracy in identifying weak CC tests. The results were promising, for example, the better performing technique, using 105 test suites and statement coverage, exhibited 9&percnt; false negatives, 30&percnt; false positives, and no false negatives nor false positives in 14.3&percnt; of the test suites. Also using 73 test suites and more complex coverage, the numbers were 12&percnt;, 19&percnt;, and 15&percnt;, respectively.</p>",1049-331X;1049331X,,10.1145/2559932,,,Coincidental correctness;cluster analysis;coverage-based fault localization;fuzzy sets;strong coincidental correctness;weak coincidental correctness,,,,,10,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,27
Ensuring the Consistency of Adaptation through Inter- and Intra-Component Dependency Analysis,A. Sadeghi; N. Esfahani; S. Malek,"University of California, Irvine, CA",ACM Transactions on Software Engineering and Methodology (TOSEM),20170615,2017,26,1,1,27,"<p>Dynamic adaptation should not leave a software system in an inconsistent state, as it could lead to failure. Prior research has used inter-component dependency models of a system to determine a safe interval for the adaptation of its components, where the most important tradeoff is between disruption in the operations of the system and reachability of safe intervals. This article presents Savasana, which automatically analyzes a software systemäó»s code to extract both inter- and intra-component dependencies. In this way, Savasana is able to obtain more fine-grained models compared to previous approaches. Savasana then uses the detailed models to find safe adaptation intervals that cannot be determined using techniques from prior research. This allows Savasana to achieve a better tradeoff between disruption and reachability. The article demonstrates how Savasana infers safe adaptation intervals for components of a software system under various use cases and conditions.</p>",1049-331X;1049331X,,10.1145/3063385,,,Adaptive software;component-based software;update criteria,,,,,,,,,,,17-Jul,,ACM,ACM Journals & Magazines,,26
"Data Model Property Inference, Verification, and Repair for Web Applications",J. Nijjar; I. BociÛˆ; T. Bultan,"University of California, Santa Barbara",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,4,1,27,"<p>Most software systems nowadays are Web-based applications that are deployed over compute clouds using a three-tier architecture, where the persistent data for the application is stored in a backend datastore and is accessed and modified by the server-side code based on the user interactions at the client-side. The data model forms the foundation of these three tiers, and identifies the sets of objects (object classes) and the relations among them (associations among object classes) stored by the application. In this article, we present a set of property patterns to specify properties of a data model, as well as several heuristics for automatically inferring them. We show that the specified or inferred data model properties can be automatically verified using bounded and unbounded verification techniques. For the properties that fail, we present techniques that generate fixes to the data model that establish the failing properties. We implemented this approach for Web applications built using the Ruby on Rails framework and applied it to ten open source applications. Our experimental results demonstrate that our approach is effective in automatically identifying and fixing errors in data models of real-world web applications.</p>",1049-331X;1049331X,,10.1145/2699691,,,Data models;Web applications;automated repair;automated verification,,,,,1,,,,,,15-Aug,,ACM,ACM Journals & Magazines,,26
Guided test generation for database applications via synthesized database interactions,K. Pan; X. Wu; T. Xie,"University of North Carolina at Charlotte, Charlotte, NC",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,2,1,27,"<p>Testing database applications typically requires the generation of tests consisting of both program inputs and database states. Recently, a testing technique called Dynamic Symbolic Execution (DSE) has been proposed to reduce manual effort in test generation for software applications. However, applying DSE to generate tests for database applications faces various technical challenges. For example, the database application under test needs to physically connect to the associated database, which may not be available for various reasons. The program inputs whose values are used to form the executed queries are not treated symbolically, posing difficulties for generating valid database states or appropriate database states for achieving high coverage of query-result-manipulation code. To address these challenges, in this article, we propose an approach called <i>SynDB</i> that synthesizes new database interactions to replace the original ones from the database application under test. In this way, we bridge various constraints within a database application: query-construction constraints, query constraints, database schema constraints, and query-result-manipulation constraints. We then apply a state-of-the-art DSE engine called Pex for .NET from Microsoft Research to generate both program inputs and database states. The evaluation results show that tests generated by our approach can achieve higher code coverage than existing test generation approaches for database applications.</p>",1049-331X;1049331X,,10.1145/2491529,,,Automatic test generation;database application testing;dynamic symbolic execution;synthesized database interactions,,,,,6,,,,,,14-Mar,,ACM,ACM Journals & Magazines,,26
The Choice Calculus: A Representation for Software Variation,M. Erwig; E. Walkingshaw,Oregon State University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,21,1,1,27,"<p>Many areas of computer science are concerned with some form of variation in software---from managing changes to software over time to supporting families of related artifacts. We present the choice calculus, a fundamental representation for software variation that can serve as a common language of discourse for variation research, filling a role similar to the lambda calculus in programming language research. We also develop an associated theory of software variation, including sound transformations of variation artifacts, the definition of strategic normal forms, and a design theory for variation structures, which will support the development of better algorithms and tools.</p>",1049-331X;1049331X,,10.1145/2063239.2063245,,,Variation;representation,,,,,13,,,,,,11-Dec,,ACM,ACM Journals & Magazines,,26
Gaia-PL: A Product Line Engineering Approach for Efficiently Designing Multiagent Systems,J. Dehlinger; R. R. Lutz,Towson University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,4,1,27,"<p>Agent-oriented software engineering (AOSE) has provided powerful and natural, high-level abstractions in which software developers can understand, model and develop complex, distributed systems. Yet, the realization of AOSE partially depends on whether agent-based software systems can achieve reductions in development time and cost similar to other reuse-conscious development methods. Specifically, AOSE does not adequately address requirements specifications as reusable assets. Software product line engineering is a reuse technology that supports the systematic development of a set of similar software systems through understanding, controlling, and managing their common, core characteristics and their differing variation points. In this article, we present an extension to the Gaia AOSE methodology, named Gaia-PL (Gaia-Product Line), for agent-based distributed software systems that enables requirements specifications to be easily reused. We show how our methodology uses a product line perspective to promote reuse in agent-based software systems early in the development life cycle so that software assets can be reused throughout system development and evolution. We also present results from an application to show how Gaia-PL provided reuse that reduced the design and development effort for a large, multiagent system.</p>",1049-331X;1049331X,,10.1145/2000799.2000803,,,Agent-oriented software engineering;software product line engineering,,,,,1,,,,,,11-Sep,,ACM,ACM Journals & Magazines,,26
