Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Four decades of space-borne radio sounding,"Geospace Physics Laboratory (Code 673), NASA Goddard Space Flight Center, Greenbelt, Maryland 20771, USA",URSI Radio Science Bulletin,20170707,2010,2010,332,24,44
"Optimizing CNNs on Multicores for Scalability, Performance and Goodput","The Ohio State University, Columbus, OH, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,267,280
Browsix: Bridging the Gap Between Unix and the Browser,"University of Massachusetts Amherst, Amherst, MA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,253,266
An Architecture Supporting Formal and Compositional Binary Analysis,"University of California, Santa Barbara, Santa Barbara, CA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,177,191
Sound Loop Superoptimization for Google Native Client,"Stanford University, Stanford, CA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,313,326
CHERI JNI: Sinking the Java Security Model into the C,"University of Cambridge, Cambridge, United Kingdom",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,569,583
3DGates: An Instruction-Level Energy Analysis and Optimization of 3D Printers,"University at Buffalo, Buffalo, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,419,433
Mallacc: Accelerating Memory Allocation,"Harvard Unirevsity, Cambridge, MA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,33,45
GRIFFIN: Guarding Control Flows Using Intel Processor Trace,"Microsoft Research, Redmond, WA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,585,598
Towards Practical Default-On Multi-Core Record/Replay,"Stanford University, Stanford, CA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,693,708
REDSPY: Exploring Value Locality in Software,"College of William &#38; Mary, Williamsburg, VA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,47,61
Graspan: A Single-machine Disk-based Graph System for Interprocedural Static Analyses of Large-scale Systems Code,"University of California, Irvine, Irvine, CA, USA",ACM SIGOPS Operating Systems Review,20170615,2017,51,2,389,404
Towards clustering-based device-to-device communications for supporting applications,Towson Univ.,ACM SIGAPP Applied Computing Review,20170608,2017,17,1,35,48
The Emotional Work of Doing eHealth Research,"University of Edinburgh, Edinburgh, United Kingdom",Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems,20170608,2017,,,816,826
SIFT Meets CNN: A Decade Survey of Instance Retrieval,"Centre for AI, University of Technology at Sydney, Ultimo, NSW, Australia",IEEE Transactions on Pattern Analysis and Machine Intelligence,20180402,2018,40,5,1224,1244
The problem of multimodality: what data-driven research can tell us about online writing practices,Stevenson University,Communication Design Quarterly Review,20170511,2016,4,4,55,73
Distributed Power-Generation Systems and Protection,"Department of Energy Technology, Aalborg University, Aalborg, Denmark",Proceedings of the IEEE,20170616,2017,105,7,1311,1331
Iris: An optimized I/O stack for low-latency storage devices,"Institute of Computer Science, FORTH (ICS), Heraklion, Greece",ACM SIGOPS Operating Systems Review,20170504,2016,50,3,3,11
Taxonomy of malware detection techniques: A systematic literature review,"School of Computer Science, Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, 43600 UKM Bangi, Malaysia","2016 14th Annual Conference on Privacy, Security and Trust (PST)",20170424,2016,,,629,636
Eliph: Effective Visualization of Code History for Peer Assessment in Programming Education,"Korea Advanced Institute of Science and Technology, Daejoen, Republic of Korea",Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,20170417,2017,,,458,467
Learning analytics in higher education --- challenges and policies: a review of eight learning analytics policies,"The University of Edinburgh, Edinburgh, United Kingdom",Proceedings of the Seventh International Learning Analytics & Knowledge Conference,20170417,2017,,,233,242
Systematic Mapping Study of Metrics based Clone Detection Techniques,"Department of Computer Engineering, Punjabi University, Patiala",Proceedings of the International Conference on Advances in Information Communication Technology & Computing,20170413,2016,,,1,7
Scalability of Continuous Active Learning for Reliable High-Recall Text Classification,"University of Waterloo, Waterloo, ON, Canada",Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,20170413,2016,,,1039,1048
Embedded software education: an RTOS-based approach,Brigham Young University,ACM SIGBED Review,20170412,2017,14,1,71,80
A model based design approach to system building using the e-Yantra educational robot,"IIT Bombay, Powai, Mumbai, India",ACM SIGBED Review,20170412,2017,14,1,37,43
Current Status and Performance Analysis of Optical Camera Communication Technologies for 5G Networks,"Kookmin University, Seoul, South Korea",IEEE Access,20170520,2017,5,,4574,4594
Notice of Violation of IEEE Publication Principles<BR>Group-Aware Delay-Constrained Video Transmission Over Multihomed Device-to-Device Networks,"Network and Information Center, Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China",IEEE Access,20170520,2017,5,,2651,2664
Opening up dark digital archives through the use of analytics to identify sensitive content,"Drinker Biddle & Reath LLP, Washington, D.C.",2016 IEEE International Conference on Big Data (Big Data),20170206,2016,,,3224,3229
EdgeCentric: Anomaly Detection in Edge-Attributed Networks,,2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),20170202,2016,,,327,334
"Findings from GitHub: Methods, Datasets and Limitations","Mines de Nantes, LINA, Atlanmod, Inria, Nantes, France",2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),20170126,2016,,,137,141
Understanding the Factors That Impact the Popularity of GitHub Repositories,"Dept. of Comput. Sci., Fed. Univ. of Minas Gerais, Belo Horizonte, Brazil",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),20170116,2016,,,334,344
A Novel Approach for Embedding Information in Image Cover Media with Security,"Nat. Eng. Sch. of Manouba, Manouba Univ., Manouba, Tunisia",2016 World Symposium on Computer Applications & Research (WSCAR),20161222,2016,,,104,109
A Review of Lightweight Thread Approaches for High Performance Computing,,2016 IEEE International Conference on Cluster Computing (CLUSTER),20161208,2016,,,471,480
Interference Management via Sliding-Window Coded Modulation for 5G Cellular Networks,,IEEE Communications Magazine,20161115,2016,54,11,82,89
JPEG Pleno: Toward an Efficient Representation of Visual Reality,Ecole Polytechnique F&#x00E9;d&#x00E9;rale de Lausanne,IEEE MultiMedia,20161114,2016,23,4,14,20
An Energy-interference-free Hardware-Software Debugger for Intermittent Energy-harvesting Systems,"Carnegie Mellon University, Pittsburgh, PA, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,577,589
A design space for engineering graphical adaptive menus,"Orange Labs, Meylan, France and Univ. Grenoble Alpes, Grenoble, France",Proceedings of the 8th ACM SIGCHI Symposium on Engineering Interactive Computing Systems,20161111,2016,,,239,244
A wait-free multi-producer multi-consumer ring buffer,University of Central Florida,ACM SIGAPP Applied Computing Review,20161111,2015,15,3,59,71
Perspectives on task ownership in mobile operating system development (invited talk),"Singapore University of Technology and Design, Singapore",Proceedings of the 2nd International Workshop on Software Development Lifecycle for Mobile,20161111,2014,,,11,12
CSR: Core Surprise Removal in Commodity Operating Systems,"Technion, Haifa, Israel",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,773,787
HIPStR: Heterogeneous-ISA Program State Relocation,"University of California, San Diego, La Jolla, CA, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,727,741
Ziria: language for rapid prototyping of wireless PHY,"Princeton University, Princeton, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,4,357,358
Data Center Energy Efficiency Standards in India,"Confederation of Indian Industry, New Delhi, India",Proceedings of the 2015 ACM Sixth International Conference on Future Energy Systems,20161111,2015,,,233,240
Noisy Bloom Filters for Multi-Set Membership Testing,"StaNanjing University., Nanjing, China",ACM SIGMETRICS Performance Evaluation Review,20161111,2016,44,1,139,151
Turbocharging ambient backscatter communication,"University of Washington, Seattle, WA, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,4,619,630
Multi-Faceted Recall of Continuous Active Learning for Technology-Assisted Review,"University of Waterloo, Waterloo, ON, Canada",Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval,20161111,2015,,,763,766
Lightweight Capability Domains: Towards Decomposing the Linux Kernel,"University of Utah, Salt Lake City, UT",ACM SIGOPS Operating Systems Review,20161111,2015,49,2,44,50
Mahimahi: a lightweight toolkit for reproducible web measurement,"MIT, Cambridge, MA, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,4,129,130
Merging network coding with feedback management in multicast streaming,"University of Porto, Porto, Portugal",ACM SIGBED Review,20161111,2015,12,3,49,52
Technology and adherence in web-based interventions for weight control: a systematic review,"University of Twente, Enschede, The Netherlands",Proceedings of the 6th International Conference on Persuasive Technology,20161111,2011,,,1,8
Combining Phase Identification and Statistic Modeling for Automated Parallel Benchmark Generation,"North Carolina State University, Raleigh, NC, USA",ACM SIGMETRICS Performance Evaluation Review,20161111,2015,43,1,309,320
"Findings from GitHub: methods, datasets and limitations","Atlanmod, Inria, Mines, Nantes, LINA, Nantes, France",Proceedings of the 13th International Conference on Mining Software Repositories,20161111,2016,,,137,141
Architectural Run-time Models for Performance and Privacy Analysis in Dynamic Cloud Applications,"Karlsruhe Institute of Technology, Karlsruhe, Germany",ACM SIGMETRICS Performance Evaluation Review,20161111,2016,43,4,13,22
Latent Aspect Mining via Exploring Sparsity and Intrinsic Information,"The Chinese University of Hong Kong, Hong Kong, Hong Kong",Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,20161111,2014,,,879,888
Architecture-Adaptive Code Variant Tuning,"University of Utah, Salt Lake City, UT, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,325,338
Joint latency and cost optimization for erasurecoded data center storage,"George Washington University, DC, USA",ACM SIGMETRICS Performance Evaluation Review,20161111,2014,42,2,3,14
SampleLite: A Hybrid Approach to 802.11n Link Adaptation,"The University of Edinburgh, Edinburgh, United Kingdom",ACM SIGCOMM Computer Communication Review,20161111,2015,45,2,4,13
A Comparative Look into Public IXP Datasets,"ETH Zurich, Zurich, Switzerland",ACM SIGCOMM Computer Communication Review,20161111,2016,46,1,21,29
Efficient SQL querying on embedded devices using pre-compilation,University of British Columbia,ACM SIGAPP Applied Computing Review,20161111,2016,16,2,42,47
Design and experiment of testbed using network coding for power management,"Iowa State University, Ames, IA",ACM SIGBED Review,20161111,2015,12,3,40,44
Hardening an L4 Microkernel Against Soft Errors by Aspect-Oriented Programming and Whole-Program Analysis,Technische Universit&#228;t Dortmund,ACM SIGOPS Operating Systems Review,20161111,2015,49,2,37,43
Hidden Aspect Rating Discovery from Text Reviews of E-Commerce Web Sites,"Department of Systems Engineering and Engineering Management, The Chinese University of Hong Kong, Hong Kong.",Proceedings of the 2014 International Conference on Big Data Science and Computing,20161111,2014,,,1,4
Designing a time predictable memory hierarchy for single-path code,"Vienna University of Technology, Wien, Austria",ACM SIGBED Review,20161111,2015,12,2,16,21
ANVIL: Software-Based Protection Against Next-Generation Rowhammer Attacks,"University of Michigan, Ann Arbor, MI, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,743,755
DRoP: DNS-based router positioning,"University of California, San Diego, La Jolla, CA, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,3,5,13
Tapir: A Language for Verified OS Kernel Probes,University of Lugano,ACM SIGOPS Operating Systems Review,20161111,2015,49,2,51,56
Aligning single path loops to reduce the number of capacity cache misses,"Vienna University of Technology, Wien, Austria",ACM SIGBED Review,20161111,2015,12,1,13,18
Performance overhead of KVM on Linux 3.9 on ARM cortex-a15,"SICS Swedish Institute of Computer Science, Kista, Sweden",ACM SIGBED Review,20161111,2014,11,2,32,38
Towards the 5G Revolution: A Software Defined Network Architecture Exploiting Network Coding as a Service,"Budapest University of Technology and Economics, Budapest, Hungary",ACM SIGCOMM Computer Communication Review,20161111,2015,45,4,105,106
Analyzing Behavior Specialized Acceleration,"University of Wisconsin - Madison, Madison, WI, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,697,711
Improving random write performance in homogeneous and heterogeneous erasure-coded drive arrays,"University of Rostock, Rostock, Germany",ACM SIGAPP Applied Computing Review,20161111,2015,15,4,31,53
Engineering Quality and Reliability in Technology-Assisted Review,"University of Waterloo, Waterloo, ON, Canada",Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval,20161111,2016,,,75,84
Assessing the accuracy of trauma patient prioritization: communication design of the M.I.S.E.R information system protocol and communication channel during crisis communication exchanges,Ashland University,Communication Design Quarterly Review,20161111,2015,3,4,85,90
Towards dynamic adaptation in broadcasting with hybrid rateless codes,"University of Aveiro, Aveiro, Portugal",ACM SIGBED Review,20161111,2015,12,3,45,48
RAPID Programming of Pattern-Recognition Processors,"University of Virginia, Charlottesville, VA, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,593,605
Datix: A System for Scalable Network Analytics,"CSLab, NTUA, Athens, Greece",ACM SIGCOMM Computer Communication Review,20161111,2015,45,5,21,28
How to Build Static Checking Systems Using Orders of Magnitude Less Code,"Stanford University, Stanford , CA, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,143,157
"A ""hitchhiker's"" guide to fast and efficient data reconstruction in erasure-coded data centers","UC Berkeley, Berkeley, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,4,331,342
Scaling up Superoptimization,"University of California, Berkeley, Berkeley, CA, USA",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,297,310
Cogent: Verifying High-Assurance File System Implementations,"Data61 and UNSW, Sydney, Australia",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,175,188
M3: A Hardware/Operating-System Co-Design to Tame Heterogeneous Manycores,"Technische Universit&#228;t Dresden, Dresden, Germany",ACM SIGOPS Operating Systems Review,20161111,2016,50,2,189,203
Vidyut: exploiting power line infrastructure for enterprise wireless networks,"The Ohio State University, Columbus, OH, USA",ACM SIGCOMM Computer Communication Review,20161111,2014,44,4,595,606
Reviewing and Evaluating Existing File Carving Techniques for JPEG Files,,2016 Cybersecurity and Cyberforensics Conference (CCC),20161020,2016,,,55,59
Sensor-Cloud and Power Line Communication: Recent Developments and Integration,,"2016 IEEE 14th Intl Conf on Dependable, Autonomic and Secure Computing, 14th Intl Conf on Pervasive Intelligence and Computing, 2nd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)",20161013,2016,,,302,308
Advances in Two-Photon Scanning and Scanless Microscopy Technologies for Functional Neural Circuit Imaging,"Center for Neurotechnology and the Department of Bioengineering, Imperial College London, South Kensington, London, U.K.",Proceedings of the IEEE,20161222,2017,105,1,139,157
Domain-Specific Video Compression for Long-Term Archiving of Endoscopic Surgery Videos,"Lakeside Labs., Klagenfurt Univ., Klagenfurt, Austria",2016 IEEE 29th International Symposium on Computer-Based Medical Systems (CBMS),20160818,2016,,,312,317
An Overview of Device-to-Device Communications Technology Components in METIS,"Ericsson Research, Stockholm, Sweden",IEEE Access,20170520,2016,4,,3288,3299
A Review of Compressive Sensing in Information Security Field,"Chongqing Key Laboratory of Nonlinear Circuits and Intelligent Information Processing, School of Electronics and Information Engineering, Southwest University, Chongqing, China",IEEE Access,20170520,2016,4,,2507,2519
"DRAT: An Unobtrusive, Scalable Approach to Large Scale Software License Analysis","Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA",2015 30th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW),20160307,2015,,,97,101
GRAPEVINE: hybrid cooperative opportunistic routing for challenged wireless networks using fountain coding,"Calit2, University of California San Diego, La Jolla, CA, USA",ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2013,17,1,61,70
Accelerated model-based robustness testing of state machine implementations,"University of T&#252;bingen, T&#252;bingen, Germany",ACM SIGAPP Applied Computing Review,20160129,2013,13,3,50,67
Summary-based data-flow analysis that understands regular composite objects and iterators,"Texas A&M University, College Station TX",ACM SIGAPP Applied Computing Review,20160129,2012,12,4,36,47
Supporting semantic conflict prevention in real-time collaborative programming environments,"Nanyang Technological University, Singapore",ACM SIGAPP Applied Computing Review,20160129,2012,12,2,39,52
Tolerating path heterogeneity in multipath TCP with bounded receive buffers,"Aalto University, Espoo, Finland",ACM SIGMETRICS Performance Evaluation Review,20160129,2013,41,1,375,376
Towards optimal error-estimating codes through the lens of Fisher information analysis,"Georgia Tech, Atlanta, GA, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,1,125,136
ByPass: towards an unified transport protocol for the internet,"WINLAB, Rutgers University",ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2012,16,4,2,3
When to stop reviewing documents in eDiscovery cases: the Lit i View quality monitor and endpoint detector,"UBIC Japan, Konan, Minato-ku Tokyo, Japan",Proceedings of the Fifth International Conference on Management of Emergent Digital EcoSystems,20160129,2013,,,227,232
A first implementation and evaluation of the IEEE 802.11aa group addressed transmission service,"Institute IMDEA Networks, University Carlos III de Madrid",ACM SIGCOMM Computer Communication Review,20160129,2014,44,1,35,41
Towards SmartFlow: case studies on enhanced programmable forwarding in OpenFlow switches,"Budapest University of Technology and Economics, Budapest, Hungary",ACM SIGCOMM Computer Communication Review,20160129,2012,42,4,85,86
Distributed web app execution with chunks,"MIT CSAIL, Cambridge, MA, U.S.A.",ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2012,16,4,10,11
Adaptive multiple description coding and transmission of uncompressed video over 60GHz networks,"Auburn University, Auburn, AL, USA",ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2014,18,1,14,24
Efficient and reliable low-power backscatter networks,"MIT, Cambridge, MA, USA",ACM SIGCOMM Computer Communication Review,20160129,2012,42,4,61,72
An experimental evaluation of IP4-IPV6 IVI translation,"Livingstone College, Salisbury, NC",ACM SIGAPP Applied Computing Review,20160129,2013,13,1,19,27
Zooming into radio events by bus snooping,"Swedish Institute of Computer Science (SICS), Kista, Sweden",ACM SIGBED Review,20160129,2012,9,3,21,23
Measuring energy consumption for short code paths using RAPL,"Technische Universit&#228;t Dresden, Dresden, Germany",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,3,13,17
Data dissemination performance in large-scale sensor networks,"Eindhoven University of Technology, Eindhoven, Netherlands",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,395,406
What is communication design?,University of Texas at Austin,Communication Design Quarterly Review,20160129,2012,1,1,8,11
IntroPerf: transparent context-sensitive multi-layer performance inference using system stack traces,"Purdue University and CERIAS, West Lafayette, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,235,247
CApRI: CAche-conscious data reordering for irregular codes,"The Pennsylvania State University, University Park, PA, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,477,489
Genealogical insights into the facts and fictions of clone removal,University of Saskatchewan,ACM SIGAPP Applied Computing Review,20160129,2013,13,4,30,42
Nullspace-based stopping conditions for network-coded transmissions in DTNs,The Laboratory for Telecommunications Sciences,ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2013,17,1,14,21
Regenerating codes: a system perspective,"Technicolor, Rennes, France",ACM SIGOPS Operating Systems Review,20160129,2013,47,2,23,32
Delay tails in MapReduce scheduling,"IBM T. J. Watson Research, Hawthorne, NY, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,1,5,16
mTags: augmenting microkernel messages with lightweight metadata,"University of Waterloo, Canada",ACM SIGOPS Operating Systems Review,20160129,2012,46,2,67,79
Spinal codes,"M.I.T., Cambridge, MA, USA",ACM SIGCOMM Computer Communication Review,20160129,2012,42,4,49,60
The efficacy of error mitigation techniques for DRAM retention failures: a comparative experimental study,"Carnegie Mellon University &#38; Intel Labs, Pittsburgh, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,519,532
On the applicability of network coding in wireless sensor networks,"Swedish Institute of Computer Science (SICS), Kista, Sweden",ACM SIGBED Review,20160129,2012,9,3,46,48
Buffer overflow patching for C and C++ programs: rule-based approach,"Kennesaw State University, Kennesaw, GA",ACM SIGAPP Applied Computing Review,20160129,2013,13,2,8,19
Scheduling of users with markovian time-varying transmission rates,"University of Pisa, Italy; BCAM - Basque Center for Applied Mathematics, Spain, Pisa, Italy",ACM SIGMETRICS Performance Evaluation Review,20160129,2013,41,1,129,140
RaptorStream: boosting mobile peer-to-peer streaming with raptor codes,"University of Bamberg, Bamberg, Germany",ACM SIGCOMM Computer Communication Review,20160129,2012,42,4,291,292
Error estimating codes for insertion and deletion channels,"Tsinghua University, Beijing, China",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,381,393
A measurement study of google play,"Columbia University, New York, NY, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,221,233
SimPal: a design study on a framework for flexible safety-critical software development,"Lund University, Sweden",ACM SIGAPP Applied Computing Review,20160129,2013,13,4,17,29
Our troubles with Linux Kernel upgrades and why you should care,"University of Waterloo, Waterloo, Canada",ACM SIGOPS Operating Systems Review,20160129,2013,47,2,66,72
RAID triple parity,NetApp Inc.,ACM SIGOPS Operating Systems Review,20160129,2012,46,3,41,49
Filling the gaps of unused capacity through a fountain coded dissemination of information,"University of Sussex, Brighton, United Kingdom",ACM SIGMOBILE Mobile Computing and Communications Review,20160129,2014,18,1,46,54
Neighbor-cell assisted error correction for MLC NAND flash memories,"Carnegie Mellon University, Pittsburgh, PA, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,42,1,491,504
Waveperf: a benchmark generator for performance evaluation,"Thales Communications and Security, Paris, France",ACM SIGBED Review,20160129,2012,9,2,7,11
Evaluation of machine-learning protocols for technology-assisted review in electronic discovery,"University of Waterloo, Waterloo, ON, Canada",Proceedings of the 37th international ACM SIGIR conference on Research & development in information retrieval,20160129,2014,,,153,162
An automatic control interface for network-accessible embedded instruments,"McGill University, Montreal",ACM SIGBED Review,20160129,2012,9,2,23,27
Predictive modeling and analysis of OP2 on distributed memory GPU clusters,"Oxford e-Research Centre, University of Oxford",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,2,61,67
"Congestion control meets medium access: throughput, delay, and complexity","Massachusetts Institute of Technology, Cambridge, MA, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,1,399,400
ADOK: a minimal object oriented real-time operating system in C++,Scuola Superiore Sant'Anna,ACM SIGBED Review,20160129,2014,11,1,74,79
MultiNet: usable and secure WiFi device association,"University of Nottingham, Nottingham, United Kingdom",ACM SIGCOMM Computer Communication Review,20160129,2012,42,4,275,276
Ipb-frame adaptive mapping mechanism for video transmission over IEEE 802.11e WLANs,"Zhejiang University of Technology, Hangzhou, China",ACM SIGCOMM Computer Communication Review,20160129,2014,44,2,5,12
Optimizing matrix transposes using a POWER7 cache model and explicit prefetching,"Ecole Polytechnique F&#233;d&#233;rale de Lausanne, Lausanne, Switzerland",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,2,68,73
Auto-generation of communication benchmark traces,"North Carolina State University, Raleigh, NC, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,2,99,105
An empirical study on clone stability,"University of Saskatchewan, Canada",ACM SIGAPP Applied Computing Review,20160129,2012,12,3,20,36
Attack tolerant architecture for big data file systems,"Old Dominion University, Norfolk, VA",ACM SIGMETRICS Performance Evaluation Review,20160129,2014,41,4,65,69
BlackjackBench: portable hardware characterization,"University of Tennessee, Knoxville, TN, USA",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,2,74,79
Towards autotuning by alternating communication methods,"Swiss National Supercomputing Centre, Switzerland",ACM SIGMETRICS Performance Evaluation Review,20160129,2012,40,2,80,85
A performance evaluation tool for hybrid and dynamic distributed systems,"Federal Institute of Bahia (IFBA), Salvador, BA, Brazil and Federal University of Bahia (UFBA), Salvador, BA, Brazil",ACM SIGOPS Operating Systems Review,20160129,2014,48,1,11,18
Enhancing X3DOM declarative 3D with rigid body physics support,"Technological Educational Institute of Crete, Heraklion, Greece, GR",Proceedings of the Nineteenth International ACM Conference on 3D Web Technologies,20160129,2014,,,99,107
A review on recent phishing attacks in Internet,"Dept. of Comput. Sci., Maharishi Arvind Coll. of Eng. & Res. Center, Jaipur, India",2015 International Conference on Green Computing and Internet of Things (ICGCIoT),20160114,2015,,,1312,1315
"A Survey on High Mobility Wireless Communications: Challenges, Opportunities and Solutions","University of Arkansas, Fayetteville, AR, USA",IEEE Access,20170520,2016,4,,450,476
A Comparative Review of Steganalysis Techniques,"Dept. of Comput. Sci., Univ. of Auckland, Auckland, New Zealand",2015 2nd International Conference on Information Science and Security (ICISS),20160107,2015,,,1,4
Supervised Image Classification Using Deep Convolutional Wavelets Network,"REGIM-Lab.: Res. Groups in Intell., Machines Univ. of Sfax, Sfax, Tunisia",2015 IEEE 27th International Conference on Tools with Artificial Intelligence (ICTAI),20160107,2015,,,265,271
Multithreaded signal preprocessing approach for inertial sensors of smartphone,"Coding and Signal Processing Department, Institute for Informatics and Automation Problems of NAS RA, Yerevan, Armenia",2015 Computer Science and Information Technologies (CSIT),20151217,2015,,,85,89
A Review on Synergistic Learning,"College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China",IEEE Access,20170520,2016,4,,119,134
Social media interaction and analytics for enhanced educational experiences,National Technical University of Athens,IEEE Internet Computing,,2015,Early Access,Early Access,1,1
The Hitchhikers Guide to Sharing Graph Data,"ARC Centre of Excellence for Math. & Stat. Frontiers, Univ. of Adelaide, Adelaide, SA, Australia",2015 3rd International Conference on Future Internet of Things and Cloud,20151026,2015,,,435,442
Video Encoding and Streaming Mechanisms in IoT Low Power Networks,"Dept. of Comput., Edge Hill Univ., Ormskirk, UK",2015 3rd International Conference on Future Internet of Things and Cloud,20151026,2015,,,357,362
Objective Quality Metrics in Correlation with Subjective Quality Metrics for Steganography,"Fac. of Eng. & Inf. Technol., Univ. of Technol., Sydney, Sydney, NSW, Australia",2015 Asia-Pacific Conference on Computer Aided System Engineering,20151005,2015,,,238,245
Review of Big Data Storage Based on DNA Computing,"Fac. of Eng. & Inf. Technol., Univ. of Technol., Sydney, NSW, Australia",2015 Asia-Pacific Conference on Computer Aided System Engineering,20151005,2015,,,113,117
Remote Sensing Image Compression: A Review,"Sch. of Inf. & Electron., Beijing Inst. of Technol., Beijing, China",2015 IEEE International Conference on Multimedia Big Data,20150713,2015,,,406,410
A Light-Weight Permutation Based Method for Data Privacy in Mobile Cloud Computing,"Cloud Lab., Univ. of California, Merced, Merced, CA, USA","2015 3rd IEEE International Conference on Mobile Cloud Computing, Services, and Engineering",20150625,2015,,,189,198
Out-of-band emission reduction and a unified framework for precoded OFDM,"University of Technology, Sydney",IEEE Communications Magazine,20150610,2015,53,6,151,159
A Survey Of Architectural Approaches for Data Compression in Cache and Main Memory Systems,"Future Technologies Group, Oak Ridge, TN",IEEE Transactions on Parallel and Distributed Systems,20160407,2016,27,5,1524,1536
CoGI: Towards Compressing Genomes as an Image,"Fudan University, Shanghai, China",IEEE/ACM Transactions on Computational Biology and Bioinformatics,20151208,2015,12,6,1275,1285
MPEG-UD Standard Enabling Responsive Remote User Interface,"Sch. of Comput. Sci. & Eng., Konkuk Univ., Seoul, South Korea",2014 International Conference on Information Science & Applications (ICISA),20140708,2014,,,1,2
Exploring the Challenges of MP3 Audio Steganography,"Fac. of Comput., Univ. Teknol. Malaysia, Skudai, Malaysia",2013 International Conference on Advanced Computer Science Applications and Technologies,20140619,2013,,,156,161
Image Encryption Using Chaotic Maps: A Survey,"Dept. of TCE, BNMIT, Bangalore, India",2014 Fifth International Conference on Signal and Image Processing,20140331,2014,,,102,107
Computational Implications of Lognormally Distributed Synaptic Weights,"Graduate School of Information Science and Technology, Osaka University, Suita, Osaka, Japan",Proceedings of the IEEE,20140325,2014,102,4,500,512
Review: Performance evolution of different detection techniques in V-BLAST,"Dept. of Electron. & Commun., Sarvajanik Coll. of Eng. & Technol., Surat, India","2013 Fourth International Conference on Computing, Communications and Networking Technologies (ICCCNT)",20140130,2013,,,1,5
